Prompt,Respuesta
¿Qué objetivos estratégicos tiene el SIGC para la sostenibilidad en la Universidad del Norte?,"Los objetivos incluyen promover proyectos y acciones estratégicas para la sostenibilidad ambiental, social y económica, mantener ventajas competitivas, y fortalecer la gestión de riesgos para mitigar impactos y asegurar la continuidad del negocio de manera sostenible."
¿Cómo se aborda la mejora de la eficiencia y desempeño de los procesos en el SIGC?,"Se aborda mediante el uso de metodologías novedosas y flexibles que permitan adaptar los procesos a los cambios del entorno, con el fin de mejorar su desempeño y eficiencia."
¿Qué tipo de infraestructura se busca disponer según los objetivos del SIGC?,Se busca disponer de infraestructura física y tecnológica adecuada para responder a las necesidades tanto académicas como administrativas de la universidad.
¿Qué enfoque tiene el SIGC respecto al desarrollo de competencias y habilidades de los colaboradores?,"El SIGC busca fortalecer el desarrollo de competencias y habilidades de los colaboradores administrativos y de apoyo para potenciar su desempeño profesional y crecimiento personal, contribuyendo así a un mejor clima organizacional y a la efectividad general de la institución."
¿Qué papel juega la internacionalización en los compromisos del SIGC?,"La internacionalización juega un papel crucial al fortalecer y establecer relaciones, convenios y alianzas internacionales con universidades, centros de investigación, organizaciones y empresas. Esto busca visibilizar las fortalezas institucionales, compartir buenas prácticas, atraer estudiantes y profesores internacionales, y fomentar la experiencia multicultural."
¿Cómo se asegura el cumplimiento de las leyes en el SIGC?,Se asegura cumpliendo con el orden jurídico y la normatividad interna vigente en el desarrollo de todas las actividades de la universidad.
¿Cuál es el enfoque del SIGC hacia la protección del medio ambiente?,"El SIGC promueve el cuidado y conservación del medio ambiente mediante el uso sostenible de los recursos naturales, la adecuada gestión del impacto medioambiental, y fomentando la educación ambiental y la sostenibilidad."
¿Cuáles son algunos de los logros destacados del SIGC en la Universidad del Norte?,"Entre los logros destacados se encuentran la renovación de la certificación ISO 9001:2015, la integración de sistemas de gestión de calidad, apoyo a acreditaciones, implementación de sistemas de seguridad y salud en el trabajo, proyectos de Lean Six Sigma, y mantener el SIGC certificado con resultados exitosos de auditorías externas."
¿Cómo está planificado el Sistema Integrado de Gestión de la Calidad (SIGC) en la Universidad del Norte?,"El SIGC está planificado y configurado por procesos agrupados en 19 macroprocesos, clasificados en cuatro ejes de gestión: Direccionamiento Estratégico, Valor-Extensión, Soporte Académico, y Soporte Administrativo. Estos procesos abarcan tanto las funciones sustantivas de la universidad como el soporte fundamental a dichas actividades."
¿Cuáles son los macroprocesos de dirección en el SIGC de la Universidad del Norte?,Los macroprocesos de dirección incluyen la Planeación Institucional y el Seguimiento y Mejora de la Calidad. Estos procesos definen el direccionamiento estratégico y la mejora continua del Sistema de Gestión de la Calidad.
¿Qué procesos están incluidos en el eje de Valor-Extensión del SIGC?,"En el eje de Valor-Extensión, los procesos incluyen la Gestión de Proyectos de Consultoría y Servicios, la Gestión de Programas de Educación Continua, y la Gestión de Programas de Idiomas. Estos procesos enmarcan las funciones sustantivas de la universidad."
¿Qué macroprocesos forman parte del soporte académico en el SIGC?,"Los macroprocesos de soporte académico son Comunicación, Mercadeo, Admisiones, Registro, Cooperación Internacional, y Gestión de Biblioteca. Estos procesos facilitan el desarrollo de las actividades académicas."
¿Qué macroprocesos están enfocados en el soporte administrativo del SIGC?,"Los macroprocesos de soporte administrativo incluyen Gestión Financiera, Gestión Humana, Gestión de Planta Física, Gestión Logística, Gestión en Salud y Seguridad Integral, Gestión de Servicios a la Comunidad, Gestión de TIC, y Gestión Jurídica. Estos procesos se centran en el suministro de recursos para el desarrollo de actividades académicas y administrativas."
¿Quién es el responsable del área de Calidad en la Universidad del Norte?,"La Jefe de Gestión de Calidad es la Ingeniera Ana Karina Quintero Arteaga. Es Ingeniera Industrial, Magíster en Administración de Empresas y Especialista en Gerencia de la Calidad de la Universidad del Norte, con más de 12 años de experiencia en la formulación, diseño y gestión de sistemas para el mejoramiento de la calidad de procesos organizacionales."
¿Qué es ISOLUCIÓN y cómo ayuda en la gestión de calidad en la Universidad del Norte?,"ISOLUCIÓN es una herramienta integral basada en tecnología web que facilita la planeación, implementación y administración del Sistema de Gestión de Calidad. Permite una distribución eficiente de la información, los recursos y las actividades del SIGC, y es accesible tanto por Internet como a través de la red interna de la universidad."
¿Cómo pueden los empleados acceder a la información del Sistema de Gestión de Calidad?,"Los empleados pueden acceder al Portal Interno del Sistema de Gestión de Calidad a través del portal de profesores y administrativos, en la pestaña de mis servicios. Este portal permite consultar información sobre los procesos de calidad del SIGC, el Centro de Conciliación, los Laboratorios de Ingeniería Civil y el Centro Integrado de Materiales y Manufactura."
¿Cómo puede un usuario expresar sus sugerencias o mejorar los procesos y servicios en la Universidad del Norte?,"Los usuarios pueden expresar sus sugerencias y oportunidades de mejora a través del buzón de sugerencias disponible para los servicios de Biblioteca, Extensión (Instituto de Idiomas y Centro de Educación Continuada), Centro de Consultoría y Servicios, Administración Universitaria, Centro de Conciliación, Laboratorio de Ingeniería Civil y Centro Integrado de Materiales y Manufactura."
¿Qué logros destacados ha tenido el SIGC en la Universidad del Norte?,"Entre los logros destacados se encuentran la renovación de la certificación ISO 9001:2015, la integración de sistemas de gestión de calidad en diversas áreas, el apoyo a acreditaciones y certificaciones, la implementación de proyectos de Lean Six Sigma, y el mantenimiento del SIGC certificado con exitosos resultados en auditorías externas."
¿Qué información adicional se ofrecerá en la sección de servicios de la Universidad del Norte?,"En breve se ampliará el portafolio de servicios con una ficha técnica de cada servicio, enlaces, guías, instructivos, formularios de solicitud, y datos de contacto directo para solicitar o hacer seguimiento a los servicios. Esta información estará disponible para ayudar a los usuarios a acceder y gestionar los servicios de manera eficiente."
¿Cómo está planificado el Sistema Integrado de Gestión de la Calidad (SIGC) en la Universidad del Norte?,"El SIGC está planificado y configurado por procesos agrupados en 19 macroprocesos, clasificados en cuatro ejes de gestión: Direccionamiento Estratégico, Valor-Extensión, Soporte Académico, y Soporte Administrativo. Estos procesos abarcan tanto las funciones sustantivas de la universidad como el soporte fundamental a dichas actividades."
¿Cuáles son los macroprocesos de dirección en el SIGC de la Universidad del Norte?,Los macroprocesos de dirección incluyen la Planeación Institucional y el Seguimiento y Mejora de la Calidad. Estos procesos definen el direccionamiento estratégico y la mejora continua del Sistema de Gestión de la Calidad.
¿Qué procesos están incluidos en el eje de Valor-Extensión del SIGC?,"En el eje de Valor-Extensión, los procesos incluyen la Gestión de Proyectos de Consultoría y Servicios, la Gestión de Programas de Educación Continua, y la Gestión de Programas de Idiomas. Estos procesos enmarcan las funciones sustantivas de la universidad."
¿Qué macroprocesos forman parte del soporte académico en el SIGC?,"Los macroprocesos de soporte académico son Comunicación, Mercadeo, Admisiones, Registro, Cooperación Internacional, y Gestión de Biblioteca. Estos procesos facilitan el desarrollo de las actividades académicas."
¿Qué macroprocesos están enfocados en el soporte administrativo del SIGC?,"Los macroprocesos de soporte administrativo incluyen Gestión Financiera, Gestión Humana, Gestión de Planta Física, Gestión Logística, Gestión en Salud y Seguridad Integral, Gestión de Servicios a la Comunidad, Gestión de TIC, y Gestión Jurídica. Estos procesos se centran en el suministro de recursos para el desarrollo de actividades académicas y administrativas."
¿Quién es el responsable del área de Calidad en la Universidad del Norte?,"La Jefe de Gestión de Calidad es la Ingeniera Ana Karina Quintero Arteaga. Es Ingeniera Industrial, Magíster en Administración de Empresas y Especialista en Gerencia de la Calidad de la Universidad del Norte, con más de 12 años de experiencia en la formulación, diseño y gestión de sistemas para el mejoramiento de la calidad de procesos organizacionales."
¿Qué es ISOLUCIÓN y cómo ayuda en la gestión de calidad en la Universidad del Norte?,"ISOLUCIÓN es una herramienta integral basada en tecnología web que facilita la planeación, implementación y administración del Sistema de Gestión de Calidad. Permite una distribución eficiente de la información, los recursos y las actividades del SIGC, y es accesible tanto por Internet como a través de la red interna de la universidad."
¿Cómo pueden los empleados acceder a la información del Sistema de Gestión de Calidad?,"Los empleados pueden acceder al Portal Interno del Sistema de Gestión de Calidad a través del portal de profesores y administrativos, en la pestaña de mis servicios. Este portal permite consultar información sobre los procesos de calidad del SIGC, el Centro de Conciliación, los Laboratorios de Ingeniería Civil y el Centro Integrado de Materiales y Manufactura."
¿Cómo puede un usuario expresar sus sugerencias o mejorar los procesos y servicios en la Universidad del Norte?,"Los usuarios pueden expresar sus sugerencias y oportunidades de mejora a través del buzón de sugerencias disponible para los servicios de Biblioteca, Extensión (Instituto de Idiomas y Centro de Educación Continuada), Centro de Consultoría y Servicios, Administración Universitaria, Centro de Conciliación, Laboratorio de Ingeniería Civil y Centro Integrado de Materiales y Manufactura."
¿Qué logros destacados ha tenido el SIGC en la Universidad del Norte?,"Entre los logros destacados se encuentran la renovación de la certificación ISO 9001:2015, la integración de sistemas de gestión de calidad en diversas áreas, el apoyo a acreditaciones y certificaciones, la implementación de proyectos de Lean Six Sigma, y el mantenimiento del SIGC certificado con exitosos resultados en auditorías externas."
¿Qué información adicional se ofrecerá en la sección de servicios de la Universidad del Norte?,"En breve se ampliará el portafolio de servicios con una ficha técnica de cada servicio, enlaces, guías, instructivos, formularios de solicitud, y datos de contacto directo para solicitar o hacer seguimiento a los servicios. Esta información estará disponible para ayudar a los usuarios a acceder y gestionar los servicios de manera eficiente."
¿Qué servicios ofrece la Dirección Financiera?,La Dirección Financiera ofrece los siguientes servicios: <br> - Asignación y control de recursos financieros <br> - Elaboración de proyecciones y análisis financieros <br> - Facturación de matrículas <br> - Facturación de servicios <br> - Programación y realización de pagos <br> - Información y asesoría sobre alternativas de financiación <br> - Gestión de solicitudes de financiación <br> - Otorgamiento de crédito directo <br> - Recuperación de cartera <br> - Recepción de pagos por servicios <br> - Registro y análisis de información contable <br> - Elaboración de informes financieros <br> - Apoyo a los centros de gestión
¿Qué servicios proporciona la Dirección de Gestión Humana?,La Dirección de Gestión Humana ofrece: <br> - Selección del personal <br> - Liquidación parcial de cesantías <br> - Pagos de sueldos legales y extralegales <br> - Desarrollo del personal <br> - Beneficios del pacto colectivo <br> - Elaboración y entrega de certificados <br> - Vinculación y desvinculación de catedráticos <br> - Bienestar organizacional <br> - Seguridad y salud en el trabajo
¿Qué actividades realiza el área de Gestión de Planta Física?,El área de Gestión de Planta Física se encarga de: <br> - Planeación de proyectos de planta física <br> - Diseño y ejecución de proyectos de infraestructura <br> - Oficina de Planeación y Proyectos de Infraestructura adscrita a la Dirección de Servicios Administrativos
¿Qué servicios brinda la Jefatura de Proyectos Administrativos?,La Jefatura de Proyectos Administrativos ofrece: <br> - Procesos Oficina de Viajes Corporativos: <br> - Diligenciamiento de tiquetes nacionales o internacionales <br> - Reservas de hotel para visitantes <br> - Procesos de Asistencia: <br> - Estudios de factibilidad <br> - Estudios de costos <br> - Servicios relacionados con procesos de acreditación: <br> - Recopilación de información para acreditación <br> - Elaboración de presentaciones e informes para visitas de pares acreditadores <br> - Servicios de Voluntariado Institucional: <br> - Atención a estudiantes interesados <br> - Gestión de vinculaciones y coordinación de servicios
¿Qué servicios ofrece el área de Servicios Administrativos?,"El área de Servicios Administrativos ofrece los siguientes servicios: Regulación Archivística: Establecimiento de procedimientos y políticas para la gestión de documentos físicos y electrónicos durante su ciclo de vida, incluyendo la implementación de Tablas de Retención Documental y estandarización de procedimientos para comunicaciones organizacionales. Consultar la Ley General de Archivo 594 del 2000 y la Resolución Rectoral No 69 de 2013. Capacitación: Capacitación archivística para funcionarios de áreas académicas y administrativas, fortaleciendo el conocimiento técnico para la administración de archivos y promoviendo la aplicación de procesos archivísticos. Asesoría: Diagnóstico y planificación de proyectos de organización de archivos, asesoría en decisiones sobre manejo de documentos, mejora en eficacia y eficiencia de consulta, racionalización del uso del papel, y disminución de riesgos asociados a la pérdida de información. Digitalización: Digitalización e indexación de documentos a solicitud o mediante servicio tercerizado, con asesoría en definición de repositorio y acompañamiento de la Dirección de Tecnología Informática y Comunicaciones. Custodia Documental: Custodia de información institucional transferida después de su tiempo de retención, con procesos de transferencia y manejo documentales específicos. Consulta y Préstamos de Documentos: Acceso a documentos transferidos al archivo inactivo, mediante solicitudes a la Sección de Gestión Documental."
"¿Qué sistemas de información se desarrollan, mantienen y soportan en la Dirección de Tecnología Informática y de Comunicaciones?","La Dirección de Tecnología Informática y de Comunicaciones gestiona los siguientes sistemas de información: Sistema de Información Bibliográfica – ALEPH: Gestión y administración de la información bibliográfica. Dirigido a la comunidad universitaria y público externo. Sistema de Información Académico – AURORA: Administración de información académica, incluyendo admisiones, matrícula financiera y académica, notas, certificaciones, etc. Dirigido a estudiantes, docentes, y funcionarios administrativos. Sistema de Información de apoyo a la gestión de Créditos y Becas: Gestión de solicitudes y seguimiento de créditos y becas. Dirigido a estudiantes y funcionarios administrativos. Sistema de Programación Académica - INFOSILEM: Elaboración de programación académica según disponibilidad de recursos y requisitos de los estudiantes. Dirigido a funcionarios de apoyo. Sistema de Información Administrativo de Postgrados: Control de valores de horas a pagar a docentes en posgrados. Dirigido a funcionarios administrativos y de apoyo. Sistema de Información de apoyo a la Gestión del Consultorio Jurídico y Centro de Conciliación - TEA: Apoya la gestión del Consultorio Jurídico y Centro de Conciliación. Dirigido a funcionarios, docentes y estudiantes del Consultorio Jurídico. Sistema de Información de Apoyo a la Retención Académica - SARA: Seguimiento estudiantil y administración de estrategias para la retención académica. Dirigido a funcionarios de apoyo. Sistema de Información de Consejería Estudiantil: Apoya programas de Consejería Psicológica e Integración Universitaria. Dirigido a estudiantes y funcionarios administrativos. Sistema de Indicadores Académicos - SIA: Medición de la gestión académica de la Universidad. Dirigido a directivos de la Universidad. Sistema de Información Financiero - SIRIUS: Manejo de información administrativa, presupuestal y contable. Dirigido a funcionarios administrativos y de apoyo. Sistema de Información para Gestión de Contratos - ATHENA: Administración de contratos jurídicos. Dirigido a funcionarios administrativos y de apoyo. Sistema de Información para el Manejo de Proveedores – REGINA: Registro y calificación de proveedores. Dirigido a funcionarios administrativos. Sistema de Información para la Gestión del Recurso Humano - SOPHIA: Apoyo a procesos de Gestión Humana como nómina, contratación, selección y hoja de vida. Dirigido a funcionarios administrativos. Sistema de Información de Capacitación a Funcionarios: Gestión de la capacitación de funcionarios, organización logística y seguimiento académico. Dirigido a funcionarios administrativos, de apoyo y docentes. Sistema de Información para el Control de Desarrollo Profesoral: Seguimiento académico y financiero del proceso de capacitación de docentes. Dirigido a funcionarios administrativos y de apoyo. Sistema de Información Portafolio del Profesor: Manejo del Portafolio del Profesor, registro de planes anuales y metas estratégicas. Dirigido a docentes y directivos académicos. Sistema de Información de Evaluación por Competencia – EVACOM: Apoyo a la evaluación por competencias de funcionarios y docentes. Dirigido a oficinas de Gestión Humana, Calidad y Proyectos Académicos. Sistema de Información para la Gestión de Investigación y Publicaciones (KATI): Manejo de publicaciones, escala de méritos, producción intelectual y investigaciones. Dirigido a funcionarios de apoyo y docentes. Sistema de Información para Gestión de Calidad - ISOLUCIÓN: Gestión de sistemas de calidad de la Universidad. Dirigido a funcionarios administrativos y de apoyo. Sistema de Información para Manejo de Cafeterías y Restaurantes - ZEUS: Gestión de servicios de restaurantes. Dirigido a funcionarios administrativos. Sistema de Información de Acceso al Campus: Control de acceso a las instalaciones de la Universidad usando el carné y gestión de acceso para visitantes. Dirigido a la comunidad universitaria. Sistema de Información para la Gestión de Mantenimiento - SIGMA: Asignación y seguimiento de mantenimientos correctivos y preventivos. Dirigido a funcionarios administrativos. Sistema de Información para la Gestión de Préstamo de Recursos Físicos: Gestión de recursos físicos prestados por oficinas. Dirigido a funcionarios administrativos y de apoyo. Sistema de Información de apoyo a la ""Línea de Atención 123"": Gestión de incidentes, solicitudes y problemas de la mesa de ayuda de Tecnología. Dirigido a la comunidad universitaria. Sistema de Información para la Administración Documental - SAD: Digitalización y consulta de documentos institucionales. Dirigido a funcionarios administrativos y de apoyo. Sistema de apoyo a la Planeación y Autoevaluación Institucional - ALENA: Herramientas para la planeación, autoevaluación, generación de reportes de gestión y control. Dirigido a funcionarios administrativos. Sistema Gestor de Revistas Digitales - OJS: Apoyo a la gestión y publicación Web de Revistas Científicas. Dirigido a docentes y público externo. Sistema de Información de Puntos de Venta - FIERRO: Gestión para librerías, editoriales y distribuidoras. Dirigido a funcionarios administrativos. Sistema de Formatos Institucionales: Manejo de flujo de aprobación de formatos en la Universidad. Dirigido a funcionarios administrativos y docentes. Sistema de Información prácticas-egresados - TURPIAL: Gestión de prácticas profesionales y empleo para egresados. Dirigido a estudiantes, egresados, empresas, funcionarios administrativos y de apoyo."
¿Qué servicios de comunicación y divulgación están disponibles?,"Los servicios de comunicación y divulgación disponibles son: Sitio web: Medio informativo de la Universidad hacia el público interno y externo, con servicios adicionales como la emisora en línea y biblioteca digital. Dirigido a la comunidad universitaria y público externo. Portales: Espacio virtual con información de noticias, eventos, políticas, directorio interno, reglamentos y procedimientos, con acceso a productos TIC. Dirigido a la comunidad universitaria. Correo electrónico - Unimail: Correo WEB institucional para estudiantes, docentes y funcionarios administrativos y de apoyo. Dirigido a la comunidad universitaria. Blogs: Espacio virtual de colaboración y publicación de contenido académico para profesores y grupos de investigación. Dirigido a docentes y funcionarios de apoyo. Carteleras electrónicas - DMS: Dispositivos para desplegar información institucional en línea, utilizando servicios multimedia. Dirigido a la comunidad universitaria y visitantes. Kioskos interactivos para consulta de información: Dispositivos para consultar información sobre oficinas, servicios, horarios y ubicaciones dentro del campus. Dirigido a la comunidad universitaria y visitantes."
¿Qué servicios de conectividad están disponibles?,"Los servicios de conectividad disponibles son: Conexión inalámbrica: Acceso a la red inalámbrica para conectar computadores y otros dispositivos sin cables. Dirigido a la comunidad universitaria y visitantes del campus. VPN: Acceso desde fuera de la red institucional a productos TIC internos. Dirigido a rectoría, vice-rectorías, decanos, jefes de departamento, directores académicos y administrativos, y administradores de infraestructura."
¿Qué servicios de préstamo de recursos están disponibles?,"Los servicios de préstamo de recursos disponibles son: Videoconferencia: Sistema de comunicación bidireccional de audio y video para interacción en tiempo real y compartir información. Dirigido a docentes, funcionarios administrativos y de apoyo. Audioconferencia: Comunicación telefónica entre varios grupos situados en diferentes lugares, con una estación para audioconferencia. Dirigido a docentes, funcionarios administrativos y de apoyo. Salas: Espacio para actividades académicas que requieren recursos de cómputo. Dirigido a estudiantes, docentes, funcionarios administrativos y de apoyo. Infosalas: Recursos computacionales o dispositivos móviles en el salón de clase para el uso de docentes y estudiantes. Dirigido a estudiantes y docentes."
¿Qué servicios ofrece la Dirección de Unidades de Servicio y Logística Empresarial (DUSLE)?,"La Dirección de Unidades de Servicio y Logística Empresarial (DUSLE) ofrece un amplio portafolio de servicios dirigidos a la comunidad universitaria y públicos externos. Estos servicios incluyen: Alimentos y bebidas: Restaurantes, cafés, máquinas dispensadoras, catering. Tecnología: Internet, alquiler de equipos y dispositivos portátiles, central de llamadas, centro de impresión digital y documentos. Esparcimiento, recreación, estética y aprovechamiento del tiempo libre: Salas de juego y simulación, sala de estética, gimnasio, cine, música, arte, vacacionales infantiles. Almacenes: Papelería, librería, almacén universitario, miscelánea, boutiques. Proyectos: Minimercado, farmacia, panadería, lavandería, remontadora, centro de servicios. Eventos y Gestión de Espacios: Diseño, organización y logística de eventos, alquiler y gestión de espacios en el campus."
¿Qué es la Dirección Financiera?,"La Dirección Financiera de Uninorte se encarga de garantizar la sostenibilidad financiera y la calidad educativa de la institución mediante una gestión responsable y transparente. Esto incluye asegurar la eficiencia en el uso de recursos, la diversificación de ingresos, el control de gastos, el crecimiento económico y una inversión responsable."
¿Cuáles son las principales funciones de la Dirección Financiera?,1. Administrar financieramente los recursos para garantizar la sostenibilidad económica a corto y largo plazo. <br> 2. Atender y relacionarse con instituciones financieras para gestionar los recursos eficientemente. <br> 3. Analizar informes financieros y hacer recomendaciones para la toma de decisiones. <br> 4. Supervisar inversiones financieras para asegurar su buen desempeño. <br> 5. Planear y coordinar con otras dependencias para alcanzar los objetivos estratégicos. <br> 6. Apoyar al área académica en trámites administrativos y financieros. <br> 7. Coordinar el proceso de recaudo de matrícula y otros ingresos. <br> 8. Colaborar en la elaboración del presupuesto anual.
¿Qué comités y comisiones coordina la Dirección Financiera?,"La Dirección Financiera coordina, dirige o forma parte de: <br> - Comisión Administración Universitaria <br> - Comité de Presupuesto <br> - Comité Financiero <br> - Comité HUN (Hospital Universidad del Norte) <br> - Junta Directiva FCMN (Fundación Hospital Universidad del Norte)"
¿Quién es el Director Financiero y cuál es su formación?,"El Director Financiero es Elkin Hernández. Es Ingeniero Industrial, Especialista en Finanzas y Master en Administración de Empresas por la Universidad del Norte. También cuenta con formación adicional en dirección universitaria, economía aplicada al riesgo financiero, operación bursátil y un programa de inglés profesional en Harvard."
¿Cuáles son los principales retos de la Dirección Financiera?,1. Asegurar la sostenibilidad financiera y la continuidad del éxito a largo plazo mediante una planificación y gestión efectiva de riesgos y oportunidades. <br> 2. Desarrollar un sistema de financiamiento flexible con nuevos programas de beca y crédito para mejorar la cobertura y calidad educativa. <br> 3. Generar nuevas fuentes de recursos y diversificar los ingresos. <br> 4. Crear un ecosistema de servicios financieros basado en tecnología para fomentar la inclusión y la innovación. <br> 5. Promover la Educación Económica y Financiera. <br> 6. Estructurar el modelo financiero para programas virtuales e híbridos. <br> 7. Reestructurar e integrar especializaciones y maestrías. <br> 8. Diversificar la oferta de servicios en la extensión Santa Marta.
¿Qué acciones estratégicas se han planificado para 2024?,1. Evaluar nuevas alternativas para generar recursos y mejorar los índices de endeudamiento. <br> 2. Revisar los resultados de la reflexión curricular y evaluar su impacto. <br> 3. Procurar la viabilización de las apuestas estratégicas. <br> 4. Diseñar e implementar un fondo de financiación para estudiantes de pregrado con aliados estratégicos. <br> 5. Viabilizar nuevos programas y/o alternativas de financiación y becas para posgrados.
¿Qué es el Programa Institucional de Becas y Apoyo Financiero?,"Iniciado en 2002, el Programa Institucional de Becas y Apoyo Financiero de Uninorte, incluyendo la Beca Roble Amarillo, ofrece cobertura total de matrícula, auxilios de libros, transporte, alojamiento y manutención para estudiantes destacados con dificultades económicas. Registra más de 3,000 beneficiarios y ha invertido cerca de 38,000 millones de pesos."
¿Qué indicadores de gestión se utilizan para evaluar la Dirección Financiera?,1. Porcentaje de estudiantes financiados por ICETEX y otras alternativas de crédito a mediano plazo. <br> 2. Cobertura de ayuda financiera (% población). <br> 3. Becas Pregrado. <br> 4. Porcentaje de población becada en pregrado. <br> 5. Porcentaje de becarios con dificultades económicas. <br> 6. EBITDA/Ingresos Operacionales. <br> 7. Porcentaje de inversiones sobre presupuesto total. <br> 8. Participación de ingresos de la Unidad de Servicios para fondos de becas Institucionales. <br> 9. Recuperación de cartera.
¿Qué servicios ofrece la Dirección Financiera?,1. Asignación y control de recursos financieros. <br> 2. Elaboración de proyecciones y análisis financieros. <br> 3. Facturación de matrículas y servicios. <br> 4. Programación y realización de pagos. <br> 5. Información y asesoría sobre alternativas de financiación. <br> 6. Gestión de solicitudes de financiación. <br> 7. Otorgamiento de crédito directo. <br> 8. Recuperación de cartera. <br> 9. Recepción de pagos por servicios. <br> 10. Registro y análisis de información contable. <br> 11. Elaboración de informes financieros. <br> 12. Apoyo a los centros de gestión. <br> 13. Elaboración de prospectiva financiera. <br> 14. Estudio de costos institucional.
¿Qué es la Dirección de Servicios Administrativos?,"La Dirección de Servicios Administrativos de la Universidad del Norte se encarga de la gestión eficiente de los recursos físicos y humanos para mejorar los procesos institucionales. Esto incluye la administración de compras, manejo de inventarios, seguridad en el campus, gestión documental y la infraestructura de la universidad."
¿Cuáles son las principales funciones de la Dirección de Servicios Administrativos?,"1. Planear, programar, organizar, dirigir y controlar las actividades administrativas de contratación de bienes y servicios. <br> 2. Autorizar la elaboración y exigibilidad de pólizas para equipos y materiales. <br> 3. Controlar y manejar los activos fijos de la institución. <br> 4. Garantizar la entrega oportuna de requerimientos de los usuarios. <br> 5. Autorizar cambios en empresas de vigilancia para garantizar la seguridad. <br> 6. Coordinar y supervisar los gastos de la universidad y el consumo en eventos. <br> 7. Autorizar importaciones y coordinar la negociación con el exterior. <br> 8. Autorizar proyectos de gestión documental y servicios relacionados."
¿Qué comités y comisiones coordina la Dirección de Servicios Administrativos?,"La Dirección de Servicios Administrativos coordina, dirige o forma parte de: <br> - Comité de Planta Física <br> - Comité Técnico de Planta Física <br> - Comité de Archivo y Gestión Documental <br> - Comisión de Administración Universitaria <br> - Comité Administrativo <br> - Comité Gerencial de Calidad <br> - Comités de construcción y montaje para proyectos técnicos y financieros <br> - Comités de compras para evaluar cotizaciones <br> - Comités de informática para evaluar compra de equipos computacionales"
